,test_RMSE,Cor_train,Iteration,training_RMSE,Cor_is
0,54.55854034423828,0.4136314699522087,0.0,40.86887741088867,0.47588133873524513
1,38.787986755371094,-0.36115934601854205,1000.0,25.31678009033203,-0.4959091849142661
2,30.20235252380371,-0.0343413119173239,2000.0,17.877914428710938,0.155748053581306
3,23.54079818725586,0.01804317816236123,3000.0,12.711727142333984,
4,19.56175422668457,-0.003663292611450636,4000.0,11.060710906982422,0.2589518359466846
5,17.971506118774414,,5000.0,10.726709365844727,
6,17.69739532470703,-0.10021912501141843,6000.0,10.81428050994873,
7,17.672698974609375,,7000.0,10.39516830444336,
8,17.631744384765625,0.027278861005670087,8000.0,10.490792274475098,-0.2626678935904191
9,17.732746124267578,,9000.0,10.817520141601562,
10,17.66529655456543,,10000.0,10.798851013183594,
11,17.51191520690918,,11000.0,10.80982494354248,0.23545775787619835
12,17.801918029785156,,12000.0,10.698201179504395,
13,17.687707901000977,,13000.0,11.012534141540527,
14,17.744478225708008,,14000.0,10.912211418151855,
15,17.663490295410156,0.0013443992643552966,15000.0,10.803686141967773,-0.22736811841676408
16,17.692821502685547,,16000.0,10.861468315124512,
17,17.651329040527344,,17000.0,11.162674903869629,
18,17.528926849365234,,18000.0,10.81790542602539,
19,17.67865562438965,,19000.0,10.686403274536133,
20,17.68842887878418,,20000.0,10.951972961425781,
21,17.55806541442871,,21000.0,11.156026840209961,
22,17.60967445373535,,22000.0,10.249820709228516,
23,17.47629165649414,,23000.0,10.782209396362305,
24,17.618000030517578,,24000.0,10.3012056350708,
25,17.745866775512695,,25000.0,10.934025764465332,
26,17.639753341674805,,26000.0,10.944364547729492,
27,17.545591354370117,,27000.0,10.363359451293945,
28,17.560087203979492,,28000.0,10.936092376708984,0.08372393669863318
29,16.611488342285156,0.4225240453262084,29000.0,9.887003898620605,0.5655851871556803
30,11.252191543579102,0.8097570475638178,30000.0,6.175439834594727,0.7307656028514494
31,8.664514541625977,0.8230861465806874,31000.0,6.021317005157471,0.7668350923675968
32,7.559842109680176,0.8631098692184187,32000.0,5.267678260803223,0.787512265316388
33,7.00154972076416,0.8813784605165988,33000.0,4.926803112030029,0.7922918715044354
34,6.649083614349365,0.8910385951135742,34000.0,4.778397083282471,0.8221045384338694
35,6.374855041503906,0.8913355545073757,35000.0,4.888739109039307,0.8335324069019021
36,6.13158655166626,0.9037992028815783,36000.0,4.496554851531982,0.8361942133336328
37,5.972422122955322,0.9135232293524994,37000.0,4.486609935760498,0.858665156764113
38,5.910209655761719,0.9134690174824729,38000.0,4.560122489929199,0.8508348499436261
39,5.697267532348633,0.9129144101250353,39000.0,4.392816066741943,0.8616680922445981
40,5.715909481048584,0.9259862391687722,40000.0,4.02366828918457,0.860505026822715
41,5.710607051849365,0.9294818882494759,41000.0,3.862839460372925,0.861488905420802
42,5.882381439208984,0.9224819081030385,42000.0,4.326041221618652,0.8684571645707951
43,5.580410003662109,0.9328340726543265,43000.0,3.862274646759033,0.8659816006523192
44,5.710102558135986,0.923987085636752,44000.0,4.0834574699401855,0.8670416001530891
45,5.6809186935424805,0.9366652327355934,45000.0,3.7094080448150635,0.8735801973929322
46,5.605179786682129,0.9385849085338293,46000.0,4.120430946350098,0.8672400662326041
47,5.742321491241455,0.9422663268729082,47000.0,3.6639082431793213,0.8702156395696742
48,5.606988906860352,0.9394081896347487,48000.0,3.8607120513916016,0.8719923751233407
49,5.834183692932129,0.934329117353619,49000.0,3.798055410385132,0.8647745078855599
50,5.492987155914307,0.9470369821784425,50000.0,3.409986734390259,0.8747873363038519
